participant,file_path,timestamp,rms,zcr,harmonic_ratio,percussive_ratio,tonnetz_mean_1,tonnetz_mean_2,tonnetz_mean_3,tonnetz_mean_4,tonnetz_mean_5,tonnetz_mean_6,tonnetz_var_1,tonnetz_var_2,tonnetz_var_3,tonnetz_var_4,tonnetz_var_5,tonnetz_var_6,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,self_similarity_mean,self_similarity_var,mfcc_motion,mfcc_accel,repetition_contrast,timbre_stability,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_mean,spectral_flatness_mean,spectral_contrast_mean,spectral_contrast_var,spectral_complexity_mean,pitch_mean,pitch_std,pitch_range,onset_density,bpm,num_beats,onset_rate,danceability,key,scale,key_strength,pitch_range,num_notes,pitch_yin,pitch_salience,vibrato_extent,inharm_mean,inharm_var,dissonance_mean,dissonance_var,main_chord,num_chords,harmonic_percussive_ratio
_0sca4vavd,quislingsspeechjohansoderqvistthekingschoicesample2mp3.mp3,3.3318327973026800,0.2017216,0.00600614161849711,0.84767836,0.19520669,-0.07122211312910490,0.20897318758654500,0.1444676860077260,0.0733974774427849,0.010807778350151200,0.038667265264441100,0.0013592263110973800,0.01410588647433320,0.014250196538043400,0.00381944704984429,0.0013796073812391900,0.0009168004719432510,-867.31665,305.1266,56.427494,33.896713,15.776326,8.2931,2.0664334,9.211161,5.181405,2.4831553,0.31482103,4.574192,2.2817638,806.79364,493.0542,112.65168,40.08447,66.91144,40.639297,42.423218,34.455128,29.578436,25.310497,47.161934,28.118414,17.88301,0.9986369,5.7736547E-06,5.431905,6.944314,0.18384653,0.18409748,3961.0692180765100,486576.2476799720,167.1917093211210,0.00935284799264594,-5.388462,0.023371192,8.511494252873560,126.04318237304700,19.653575897216800,75.8765869140625,76.5,172.265625,5,"(array([], dtype=float32), 0.0)",[0.34829935 0.34829932 0.3134693  0.32507944],C,major,0.837323009967804,91.19416046142580,61,96.19679732756180,0.37207320738922500,22.77602195739750,0.06631553570597050,0.004813010084594110,0.39881124076518100,0.004097194666765190,C,4,0.8736545
_0sca4vavd,quislingsspeechjohansoderqvistthekingschoicesample2mp3.mp3,10.887915867479000,0.1319105,0.0040699512283237,0.90646225,0.15301439,-0.04116399815480950,0.05043351142706020,0.17257194588854100,0.10879806552678100,0.09514468561926600,-0.01596036115039800,0.002518541831168710,0.003944617949897620,0.009129106149225470,0.00354461936536948,0.0014218026861571800,0.00027002563327655900,-953.6297,278.67834,85.58779,31.136059,21.938606,13.874895,5.991019,8.993822,7.075928,3.6509876,3.9308696,6.977821,5.4357686,6261.5767,1057.9797,558.84814,60.50043,49.638878,35.383083,36.774796,22.070896,29.61414,23.08239,18.502136,23.555944,22.772093,0.99713117,7.772018E-06,5.614918,7.405353,0.17758605,0.17809698,4244.983839013110,587963.0304648010,110.63611260775900,0.011930640915344500,-5.7900357,0.18332766,5.063218390804600,94.73440551757810,7.723710060119630,28.539886474609400,39.0,112.34715270996100,3,"(array([], dtype=float32), 0.0)",[0.5340589 0.5340589],G,major,0.815727710723877,90.14669799804690,52,112.48178312995200,0.43916510621255100,15.382362365722700,0.08455906666892010,0.005741913548214350,0.40110646188259100,0.004562455042049150,C,2,0.83746743
_0sca4vavd,thehuntthemenikolajegelandsample2mp3.mp3,2.5653333333333300,0.1069871,0.023132677023121400,0.9407414,0.13004601,-0.3245121252052130,-0.20774210883442700,0.49476713860314500,0.2116533884913060,-0.1396406029157220,-0.010817839466283400,0.002164671235786620,0.00818424170276612,0.030379634510655400,0.0247288150907707,0.004916184494258560,0.0031013845421196300,-751.10626,217.57555,-4.033794,4.7325525,-0.8156366,6.1165533,-3.2269754,-8.503222,-21.34837,-38.57311,-16.077732,1.3023186,-5.9836545,4627.551,536.7825,202.47795,103.392075,90.16768,74.54932,121.51679,78.64412,51.97331,142.90897,44.61971,81.36554,51.431793,0.99687904,6.2040217E-06,6.027344,7.1837864,0.16539276,0.16591056,4957.560753131740,298037.87397406900,566.6697535021550,0.009658052141767470,-5.1618233,0.09632208,10.21264367816090,209.43856811523400,16.93105697631840,67.99285888671880,15.5,127.62362670898400,3,"(array([], dtype=float32), 0.0)",[0.4643991 0.476009 ],Ab,minor,0.9079684019088750,128.99951171875,18,194.39426742900500,0.48766705935651600,46.142112731933600,0.18401007398709000,0.008357229201514400,0.3640847434713080,0.0038183854802983400,Ebm,2,0.95036614
_0sca4vavd,thehuntthemenikolajegelandsample2mp3.mp3,8.928000000000000,0.09494069,0.019455044255780300,0.8961116,0.1834284,-0.14693737860167700,-0.02397623502903900,0.14787951153514600,0.170020599394375,-0.21450295670206200,-0.08506667118800370,0.020585455474197000,0.012975725258787400,0.00832356463514412,0.005107545460605960,0.0034156458751064100,0.0008309285796601380,-760.81573,230.04753,2.950431,10.641434,1.8612529,-2.440062,-2.2104206,-13.459592,-21.39732,-24.903,-20.389755,-2.6227653,-1.6794728,3174.3308,648.8355,341.35028,184.87965,114.259735,144.32845,45.43676,60.807106,66.50745,88.781654,107.85569,51.93213,132.21281,0.9970865,5.7853704E-06,6.621342,8.140156,0.15058677,0.15102679,4709.109148398210,414019.9741388360,395.3941608297410,0.002539361388176340,-5.162016,0.06401824,11.632183908046000,190.883544921875,31.4853458404541,85.9476318359375,16.0,121.61610412597700,3,"(array([], dtype=float32), 0.0)",[0.48761904 0.499229  ],F,minor,0.7072991132736210,79.64486694335940,16,184.06747870011800,0.5918941213326020,27.708036422729500,0.30913849544330400,0.006278477479379930,0.3712292845064610,0.004037394052224080,F,2,0.9302543
_0sca4vavd,thehuntthemenikolajegelandsample2mp3.mp3,11.146180838280700,0.10039043,0.014357726697976900,0.9316181,0.14731038,0.34199525528040800,-0.4315774262424720,0.31980439355407200,0.4725239569924130,-0.007509439761254370,-0.17676278894640600,0.0032159381702974400,0.0019676422354863300,0.007721295529309650,0.002249874805894070,0.00040477898351614200,0.0005102656452986570,-775.1663,227.49179,5.686987,23.816557,20.029617,12.757253,-2.706181,-19.653717,-15.250792,-21.138603,-30.774704,-11.174087,2.4556565,1851.8868,548.9737,250.24356,123.41768,66.919754,80.64591,96.61007,108.09236,93.38607,91.29343,85.944626,38.790035,90.33149,0.99766904,3.19329E-06,6.576648,7.8066,0.15169871,0.15205313,5072.470303239490,404846.8646087920,323.12180091594800,0.005106894947031790,-5.2109923,0.05743281,9.701149425287360,82.22498321533200,0.5224804282188420,5.2520751953125,11.5,89.10291290283200,2,"(array([], dtype=float32), 0.0)",[0.67337865],E,major,0.6769173741340640,85.45259094238280,8,151.61329174041700,0.6381101869046690,23.086984634399400,0.2615636469986800,0.007665283083070050,0.3717003335371950,0.0031143007547831900,E,1,0.92574245
_0sca4vavd,thehuntthemenikolajegelandsample2mp3.mp3,13.619132155037600,0.088146664,0.029514202492774600,0.9171212,0.1651697,-0.015388244971825300,-0.08288080189210780,0.07106914558254620,0.17135407235536200,-0.18541790415672400,-0.10681148993389200,0.007114627323987950,0.0236522496720077,0.014722899173879400,0.006470679703145240,0.007724239319528320,0.0015935787213562900,-722.68335,188.52487,-9.211769,26.68333,5.1155863,6.584513,5.138736,-16.878597,-27.31126,-11.18589,-24.480148,-10.611847,6.1422954,4185.1245,1775.0824,230.2149,81.170334,124.676216,55.60441,60.162804,105.452225,77.1753,162.95964,66.245384,52.052498,82.15139,0.9960244,1.2800659E-05,6.779562,8.032055,0.14691575,0.14750215,4970.885396321610,380735.68395834300,795.2434671336210,0.011084059215868000,-5.068641,0.07122279,12.718390804597700,269.1741943359380,99.75640106201170,320.2801208496090,18.0,129.19921875,4,"(array([], dtype=float32), 0.0)",[0.4179592 0.4411791 0.4643991],E,major,0.46796587109565700,416.5557861328130,16,170.1295618577440,0.5711274868385360,142.56515502929700,0.2892110408588040,0.008619437922630460,0.39432740719480900,0.0024200207859550500,E,3,0.9183109
_0sca4vavd,walkinghomeandrematthiasthegravediggerswifesample1mp3.mp3,1.6053333333333300,0.14014326,0.01240177926300580,0.90162784,0.13431408,-0.028692302091007100,-0.41885058549461000,-0.3949737650413740,-0.29894367706212500,0.007266035178329890,0.15627510873378400,0.001462578318003890,0.01000618191218390,0.026155539606325100,0.01110025347586560,0.0009291063081186070,0.004001921381346380,-785.0687,220.79216,42.76228,41.71644,19.515247,18.52089,-6.7905407,-4.5447445,-20.205702,-9.942048,-8.273602,0.54727066,1.3636566,2765.6084,848.3739,80.2043,110.751366,130.92262,76.381325,37.875687,47.27207,43.446873,55.94698,68.07745,46.236263,42.141045,0.9970314,6.119558E-06,5.1822553,6.006329,0.19239333,0.19296618,4849.38685414983,291674.0136828350,320.3992120150860,0.02636150701570960,-5.169045,0.05001831,7.896551724137930,91.87679290771480,1.1825149059295700,9.165779113769530,26.0,104.4140625,3,"(array([], dtype=float32), 0.0)",[0.5688889 0.5804988],F#,minor,0.8904848098754880,5.2216644287109400,11,137.2064091942530,0.6212332512844690,1.1977360248565700,0.08346968661961990,0.005540703274592100,0.35242153179239100,0.0036046994363531300,F#m,2,0.8920735
_0sca4vavd,walkinghomeandrematthiasthegravediggerswifesample1mp3.mp3,10.009403020557,0.23718874,0.012921107297687900,0.89565015,0.17597874,0.20305121324501700,-0.2459115011207350,0.0374491953208585,-0.22028579772589900,-0.009066370892096010,0.10800075413302500,0.0010440593177263900,0.0024247230831331200,0.011123234998229800,0.009745685731506000,0.0021807308150280700,0.0006716667490656550,-673.8388,221.52748,24.285929,32.476463,3.3593867,5.873787,-8.80393,-4.7665987,-14.389032,-8.661839,-16.488358,-6.048891,-9.359217,877.10004,485.4639,147.57652,65.45324,61.30768,41.11784,57.186893,56.461662,30.861082,55.340237,37.231937,46.11373,28.625834,0.99818945,1.915357E-06,5.1866965,6.510977,0.19245186,0.19280094,4481.0273633935000,407657.4222537540,303.3211543642240,0.02229455589777090,-4.5960875,0.02362642,14.063218390804600,187.7987823486330,6.877204418182370,40.737762451171900,86.5,130.85562133789100,4,"(array([], dtype=float32), 0.0)",[0.4527891 0.4411791 0.4643991],B,minor,0.8216306567192080,31.21881103515630,21,159.62393734671900,0.5538587827574120,9.741968154907230,0.22214097004722500,0.007881867281726180,0.39206918058070300,0.0025923336916975300,Bm,3,0.9079768
_14q3qbw23,albertoiglesiasclaquetafinalpainandglorysample1mp3.mp3,12.70625,0.20182231,0.020973514270231200,0.9446586,0.11041031,-0.4806213787899550,0.12112355907244600,0.13217513297963000,0.2891142056505070,-0.09800599913400830,0.008099552266304200,0.01035335691159820,0.007866713205819640,0.026101783325607700,0.02838435933752240,0.0011363747908600300,0.009134732400846810,-627.0795,189.43158,6.917352,19.939707,-7.0612063,20.345829,0.1649884,5.5000086,-10.52921,-15.367372,-15.608494,-4.518785,8.082356,471.65683,191.31659,138.12897,74.84476,48.80688,49.644638,58.96183,53.705006,43.219376,56.920055,64.945496,65.40953,69.63575,0.99798745,1.517167E-06,4.4967613,5.3919773,0.22193472,0.22238228,5060.559230760600,236297.37281538500,623.8441204202590,0.0215208870519338,-4.5169616,0.012586027,18.42528735632180,180.53546142578100,36.21896743774410,86.02232360839840,81.0,149.10386657714800,5,"(array([], dtype=float32), 0.0)",[0.40634918 0.40634924 0.39473915 0.37151933],Ab,major,0.8435471653938290,74.01024627685550,18,258.96534729003900,0.37705186839130800,26.44254493713380,0.16857598805588400,0.013514376320437700,0.3640521115686910,0.00494477902900063,Fm,4,0.95322764
_14q3qbw23,caravandukeellingtonjuantizoljohnwassonwhiplashsample1mp3.mp3,11.23123302154200,0.21732211,0.07462235820086710,0.7566407,0.3293483,0.005207116814672270,-0.020571940822691500,-0.0660291445207122,0.019903200367742400,-0.00609483863074891,0.0026965297810857300,0.0031267026892626800,0.0033178657271854700,0.004305568383987550,0.001818626971560390,0.0005985414283033950,0.0013982198261045100,-547.6715,109.192184,20.001804,38.077602,-0.5707524,13.867223,8.302597,10.928526,2.8818846,5.5578628,4.3774433,3.4897883,1.1568204,2605.4148,2359.0164,227.9788,91.24522,57.411034,52.552937,41.77953,19.617315,24.55205,27.822706,39.718704,33.42748,36.648952,0.99157053,6.3147636E-05,6.8559256,8.739038,0.14462972,0.14585923,3957.7267680551800,629591.3225589730,1926.8504175646600,0.00974432604879826,-4.03722,0.04234469,39.660919540229900,489.687255859375,291.7193603515630,704.127197265625,86.5,101.33271789550800,3,"(array([], dtype=float32), 0.0)",[0.59210885 0.59210885],A,major,0.7249704003334050,586.866455078125,22,2230.2140648581800,0.6051413999362430,185.1780548095700,0.1597160097550260,0.0034279129559659700,0.3470826325620610,0.0020763483909378000,G,2,0.661003
